Gram Stain,Domain,Phylum,Class,Order,Family,Genus,Species,Organism Name,Culture Collection (Strain),GENRE Filename,HOMD Sequence ID,NCBI Taxon ID,ftp for NCBI genome,NCBI Accession,Kbase ID,HOMD HOT ID,Kbase download notes
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pasteurellales,Pasteurellaceae,Haemophilus,ducreyi,Haemophilus ducreyi,35000HP,Haemophilus_ducreyi_35000HP.mat                          ,SEQF1027,233412,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/007/945/GCF_000007945.1_ASM794v1,'GCF_000007945.1',458,821,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Klebsiella,pneumoniae,Klebsiella pneumoniae,NTUH-K2044,Klebsiella_pneumoniae_NTUH-K2044.mat                     ,SEQF1715,484021,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/885/GCF_000009885.1_ASM988v1,'GCF_000009885.1',1756,731,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,cancerogenus,Enterobacter cancerogenus,ATCC 35316,Enterobacter_cancerogenus_ATCC_35316.mat                 ,SEQF1481,500639,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/155/995/GCF_000155995.1_ASM15599v1,'GCF_000155995.1',1835,565,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Enterobacter,hormaechei,Enterobacter hormaechei,ATCC 49162,Enterobacter_hormaechei_ATCC_49162.mat                   ,SEQF1960,888063,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/995/GCF_000213995.1_ASM21399v1,'GCF_000213995.1',3598,634,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,pestis,Yersinia pestis,Antiqua JGI,Yersinia_pestis_Antiqua_JGI.mat                          ,SEQF1054,360102,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/825/GCF_000013825.1_ASM1382v1,'GCF_000013825.1',1063,827,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Yersinia,pestis,Yersinia pestis,KIM D27,Yersinia_pestis_KIM_D27.mat ,SEQF1844,687916,Not Found,[],2972,827,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Cronobacter,sakazakii,Cronobacter sakazakii,ATCC BAA-894,Cronobacter_sakazakii_ATCC_BAA-894.mat                   ,SEQF1185,290339,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/665/GCF_000017665.1_ASM1766v1,'GCF_000017665.1',683,753,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,Escherichia coli,BW2952,Escherichia_coli_BW2952.mat                              ,SEQF1713,595496,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/022/345/GCF_000022345.1_ASM2234v1,'GCF_000022345.1',2590,574,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Escherichia,coli,Escherichia coli,O157:H7 str. EC4115,Escherichia_coli_O157---H7_EC4115.mat                    ,SEQF1511,444450,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/125/GCF_000021125.1_ASM2112v1,'GCF_000021125.1',1511,574,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,mirabilis,Proteus mirabilis,ATCC 29906,Proteus_mirabilis_ATCC_29906.mat                         ,SEQF1802,525369,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/755/GCF_000160755.1_ASM16075v1,'GCF_000160755.1',2021,676,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Enterobacteriales,Enterobacteriaceae,Proteus,mirabilis,Proteus mirabilis,HI4320,Proteus_mirabilis_HI4320.mat                             ,SEQF1289,529507,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/069/965/GCF_000069965.1_ASM6996v1,'GCF_000069965.1',2496,676,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Moraxella,catarrhalis,Moraxella catarrhalis,RH4,Moraxella_catarrhalis_RH4.mat                            ,SEQF1102,749219,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/302/495/GCF_000302495.1_RH4.0,'GCF_000302495.1',3162,833,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Moraxellaceae,Acinetobacter,baumannii,Acinetobacter baumannii,AB0057,Acinetobacter_baumannii_AB0057.mat                       ,SEQF1485,480119,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/245/GCF_000021245.1_ASM2124v1,'GCF_000021245.1',1744,554,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,pseudoalcaligenes,Pseudomonas pseudoalcaligenes,KF707,Pseudomonas_pseudoalcaligenes_KF707.mat                  ,SEQF2352,1149133,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/065/GCF_000262065.2_KF707_a1,'GCF_000262065.2',24679,740,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,stutzeri,Pseudomonas stutzeri,"A1501, CGMCC 0351",Pseudomonas_stutzeri_A1501.mat                           ,SEQF1303,379731,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/013/785/GCF_000013785.1_ASM1378v1,'GCF_000013785.1',1147,477,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,aeruginosa,Pseudomonas aeruginosa,LESB58,Pseudomonas_aeruginosa_LESB58.mat                        ,SEQF1619,557722,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/645/GCF_000026645.1_ASM2664v1,'GCF_000026645.1',2306,536,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,otitidis,Pseudomonas otitidis,,Pseudomonas_otitidis.mat                                 ,SEQF2695,319939,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/632/755/GCF_000632755.1_PseOti1.0,'GCF_000632755.1',242457,834,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,fluorescens,Pseudomonas fluorescens,Pf0-1,Pseudomonas_fluorescens_Pf0-1.mat                        ,SEQF1301,205922,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/445/GCF_000012445.1_ASM1244v1,'GCF_000012445.1',354,612,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,fluorescens,Pseudomonas fluorescens,Pf-5,Pseudomonas_fluorescens_Pf-5.mat                         ,SEQF1300,220664,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/265/GCF_000012265.1_ASM1226v1,'GCF_000012265.1',410,612,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,maltophilia,Stenotrophomonas maltophilia,K279a,Stenotrophomonas_maltophilia_K279a.mat                   ,SEQF1329,522373,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/072/485/GCF_000072485.1_ASM7248v1,'GCF_000072485.1',1966,663,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Stenotrophomonas,maltophilia,Stenotrophomonas maltophilia,R551-3,Stenotrophomonas_maltophilia_R551-3.mat                  ,SEQF1330,391008,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/665/GCF_000020665.1_ASM2066v1,'GCF_000020665.1',1188,663,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,hominis,Cardiobacterium hominis,ATCC 15826,Cardiobacterium_hominis_ATCC_15826.mat                   ,SEQF1604,638300,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/655/GCF_000160655.1_ASM16065v1,'GCF_000160655.1',2709,633,
Negative,Bacteria,Proteobacteria,Gammaproteobacteria,Cardiobacteriales,Cardiobacteriaceae,Cardiobacterium,valvarum,Cardiobacterium valvarum,F0432,Cardiobacterium_valvarum_F0432.mat                       ,SEQF1860,797473,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/239/355/GCF_000239355.1_ASM23935v1,'GCF_000239355.1',27792,540,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,sicca,Neisseria sicca,ATCC 29256,Neisseria_sicca_ATCC_29256.mat                           ,SEQF1264,547045,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/174/655/GCF_000174655.1_ASM17465v1,'GCF_000174655.1',2202,764,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,mucosa,Neisseria mucosa,ATCC 25996,Neisseria_mucosa_ATCC_25996.mat                          ,SEQF1175,546266,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/875/GCF_000173875.1_ASM17387v1,'GCF_000173875.1',2185,682,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,gonorrhoeae,Neisseria gonorrhoeae,DGI2,Neisseria_gonorrhoeae_DGI2.mat                           ,SEQF1794,528348,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/159/935/GCF_000159935.1_ASM15993v1,'GCF_000159935.1',2112,621,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,gonorrhoeae,Neisseria gonorrhoeae,NCCP11945,Neisseria_gonorrhoeae_NCCP11945.mat                      ,SEQF1109,521006,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/020/105/GCF_000020105.1_ASM2010v1,'GCF_000020105.1',1950,621,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,polysaccharea,Neisseria polysaccharea,ATCC 43768,Neisseria_polysaccharea_ATCC_43768.mat                   ,SEQF1183,546267,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/735/GCF_000176735.1_ASM17673v1,'GCF_000176735.1',2186,737,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,meningitidis,Neisseria meningitidis,ATCC 13091,Neisseria_meningitidis_ATCC_13091.mat                    ,SEQF1916,862513,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/146/655/GCF_000146655.1_ASM14665v1,'GCF_000146655.1',3433,669,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,meningitidis,Neisseria meningitidis,MC58,Neisseria_meningitidis_MC58.mat                          ,SEQF1276,122586,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/805/GCF_000008805.1_ASM880v1,'GCF_000008805.1',104,669,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,flavescens,Neisseria flavescens,NRL30031/H210,Neisseria_flavescens_NRL30031_H210.mat                   ,SEQF1195,546264,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/935/GCF_000173935.1_ASM17393v1,'GCF_000173935.1',2183,610,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,subflava,Neisseria subflava,NJ9703,Neisseria_subflava_NJ9703.mat                            ,SEQF1165,546268,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/955/GCF_000173955.1_ASM17395v1,'GCF_000173955.1',2187,476,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,weaveri,Neisseria weaveri,ATCC 51223,Neisseria_weaveri_ATCC_51223.mat                         ,SEQF2330,1051972,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/224/275/GCF_000224275.1_ASM22427v2,'GCF_000224275.1',23570,92,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,bacilliformis,Neisseria bacilliformis,ATCC BAA-1200,Neisseria_bacilliformis_ATCC_BAA-1200.mat                ,SEQF1969,888742,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/194/925/GCF_000194925.1_ASM19492v1,'GCF_000194925.1',3603,13,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,sp. oral taxon 020,Neisseria sp. oral taxon 020,F0370,Neisseria_oral_taxon_020_F0370.mat                       ,SEQF1944,1127694,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/235/GCF_000318235.2_ASM31823v2,'GCF_000318235.2',29763,20,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,kingae,Kingella kingae,ATCC 23330,Kingella_kingae_ATCC_23330.mat                           ,SEQF2080,887327,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/213/535/GCF_000213535.1_ASM21353v1,'GCF_000213535.1',3586,646,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,oralis,Kingella oralis,ATCC 51147,Kingella_oralis_ATCC_51147.mat                           ,SEQF1594,629741,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/160/435/GCF_000160435.1_ASM16043v1,'GCF_000160435.1',2656,706,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,oralis,Neisseria sp. oral taxon 014,F0314,Neisseria_oral_taxon_014_F0314.mat                       ,SEQF1659,641149,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/090/875/GCF_000090875.1_ASM9087v1,'GCF_000090875.1',2730,14,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,lactamica,Neisseria lactamica,020-06,Neisseria_lactamica_020-06.mat                           ,SEQF2159,489653,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/295/GCF_000196295.1_ASM19629v1,'GCF_000196295.1',1790,649,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,lactamica,Neisseria lactamica,ATCC 23970,Neisseria_lactamica_ATCC_23970.mat                       ,SEQF1261,546265,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/173/995/GCF_000173995.1_ASM17399v1,'GCF_000173995.1',2184,649,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Neisseria,elongata,Neisseria elongata,ATCC 29315,Neisseria_elongata_ATCC_29315.mat                        ,SEQF1166,546263,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/755/GCF_000176755.2_ASM17675v1,'GCF_000176755.2',2182,598,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Kingella,denitrificans,Kingella denitrificans,ATCC 33394,Kingella_denitrificans_ATCC_33394.mat                    ,SEQF2079,888741,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/190/695/GCF_000190695.1_ASM19069v1,'GCF_000190695.1',3602,582,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Eikenella,corrodens,Eikenella corrodens,ATCC 23834,Eikenella_corrodens_ATCC_23834.mat                       ,SEQF1016,546274,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/158/615/GCF_000158615.1_ASM15861v1,'GCF_000158615.1',2194,577,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Neisseriales,Neisseriaceae,Simonsiella,muelleri,Simonsiella muelleri,ATCC 29453,Simonsiella_muelleri_ATCC_29453.mat                      ,SEQF1652,641147,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/775/GCF_000163775.2_Simo_muel_ATCC_29453_V2,'GCF_000163775.2',2729,683,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Comamonas,testosteroni,Comamonas testosteroni,KF-1,Comamonas_testosteroni_KF-1.mat                          ,SEQF1981,399795,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/168/855/GCF_000168855.1_ASM16885v1,'GCF_000168855.1',1288,858,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Variovorax,paradoxus,Variovorax paradoxus,S110,Variovorax_paradoxus_S110.mat                            ,SEQF1395,543728,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/345/GCF_000023345.1_ASM2334v1,'GCF_000023345.1',2164,717,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Comamonadaceae,Delftia,acidovorans,Delftia acidovorans,"SPH-1, ATCC15668",Delftia_acidovorans_SPH-1.mat                            ,SEQF1413,398578,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/018/665/GCF_000018665.1_ASM1866v1,'GCF_000018665.1',1274,23,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,mirabilis,Lautropia mirabilis,ATCC 51599,Lautropia_mirabilis_ATCC_51599.mat                       ,SEQF1967,887898,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/425/GCF_000186425.1_ASM18642v1,'GCF_000186425.1',3587,22,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Ralstonia,pickettii,Ralstonia pickettii,12D,Ralstonia_pickettii_12D.mat                              ,SEQF1977,428406,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/023/425/GCF_000023425.1_ASM2342v1,'GCF_000023425.1',1436,854,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,cepacia,Burkholderia cepacia,GG4,Burkholderia_cepacia_GG4.mat                             ,SEQF2408,1009846,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/292/915/GCF_000292915.1_ASM29291v1,'GCF_000292915.1',23290,571,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Achromobacter,xylosoxidans,Achromobacter xylosoxidans,A8,Achromobacter_xylosoxidans_A8.mat                        ,SEQF1926,762376,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/165/835/GCF_000165835.1_ASM16583v1,'GCF_000165835.1',3268,343,
Negative,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Alcaligenaceae,Bordetella,pertussis,Bordetella pertussis,"Tohama I, ATCC BAA-589, NCTC-13251",Bordetella_pertussis_Tohama_I.mat                        ,SEQF1086,257313,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/715/GCF_000195715.1_ASM19571v1,'GCF_000195715.1',526,828,
Negative,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Mesorhizobium,loti,Mesorhizobium loti,MAFF303099,Mesorhizobium_loti_MAFF303099.mat                        ,SEQF1025,266835,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/625/GCF_000009625.1_ASM962v1,'GCF_000009625.1',571,659,
Negative,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bartonellaceae,Bartonella,schoenbuchensis,Bartonella schoenbuchensis,m07a,Bartonella_schoenbuchensis_m07a.mat                      ,SEQF2664,1094496,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/385/435/GCF_000385435.1_m07aNrPeIrM01,'GCF_000385435.1',29277,1,
Negative,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,Agrobacterium,tumefaciens,Agrobacterium tumefaciens,"str. C58, ATCC 33970",Agrobacterium_tumefaciens_C58.mat                        ,SEQF1167,176299,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/025/GCF_000092025.1_ASM9202v1,'GCF_000092025.1',166,485,
Negative,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Brucellaceae,Ochrobactrum,anthropi,Ochrobactrum anthropi,ATCC 49188,Ochrobactrum_anthropi_ATCC_49188.mat                     ,SEQF1457,439375,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/017/405/GCF_000017405.1_ASM1740v1,'GCF_000017405.1',1468,544,
Negative,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,capsulatus,Rhodobacter capsulatus,SB 1003,Rhodobacter_capsulatus_SB_1003.mat                       ,SEQF1980,272942,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/021/865/GCF_000021865.1_ASM2186v1,'GCF_000021865.1',628,857,
Negative,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Afipia,broomeae,Afipia broomeae,ATCC 49717,Afipia_broomeae_ATCC_49717.mat                           ,SEQF2411,883078,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/314/675/GCF_000314675.2_Afip_broo_ATCC_49717_V1,'GCF_000314675.2',28018,559,
Negative,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,elkanii,Bradyrhizobium elkanii,,Bradyrhizobium_elkanii_587.mat                           ,SEQF2325,1156987,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/257/685/GCF_000257685.2_BelkAss1.0,'GCF_000257685.2',24929,597,
Negative,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,elkanii,Bradyrhizobium elkanii,USDA 76,Bradyrhizobium_elkanii_USDA_76.mat                       ,SEQF2487,398525,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/379/145/GCF_000379145.1_ASM37914v1,'GCF_000379145.1',32186,597,
Negative,Bacteria,Proteobacteria,Alphaproteobacteria,Caulobacterales,Caulobacteraceae,Brevundimonas,diminuta,Brevundimonas diminuta,"470-4, ATCC 13184",Brevundimonas_diminuta_470-4.mat                         ,SEQF1892,1035191,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/318/405/GCF_000318405.1_ASM31840v1,'GCF_000318405.1',29103,590,
